Order_ID,Order_Preparation_Time (min),Delivery_Distance (km),Order_Size (items),Time_of_Day,Traffic_Condition,Weather,Delivery_Time (min)
981,18.9,3.06,7,Evening,Low,Stormy,50.2
982,17.1,2.24,7,Morning,Medium,Cloudy,44.7
983,10.2,3.75,4,Afternoon,Medium,Rainy,32.2
984,14.8,6.72,5,Afternoon,Medium,Cloudy,49.8
985,15.0,6.91,3,Night,Low,Cloudy,48.1
986,9.2,6.03,1,Afternoon,Medium,Clear,32.6
987,22.5,6.45,3,Night,Jam,Clear,59.8
988,19.4,6.03,2,Morning,High,Clear,56.2
989,13.9,3.72,3,Afternoon,High,Cloudy,37.8
990,15.1,5.86,4,Night,High,Clear,50.4
991,16.0,6.6,1,Evening,Medium,Clear,42.2
992,5.0,6.51,3,Night,High,Clear,36.7
993,13.8,7.38,1,Afternoon,Low,Cloudy,44.3
994,11.6,6.42,1,Morning,Medium,Stormy,52.8
995,10.0,5.7,2,Afternoon,Medium,Stormy,48.7
996,13.6,7.14,2,Afternoon,Low,Clear,33.5
997,24.0,4.95,4,Night,High,Rainy,53.5
998,18.2,3.24,5,Evening,Jam,Cloudy,54.8
999,12.1,4.67,7,Afternoon,Low,Cloudy,36.3
1000,17.9,3.51,1,Evening,High,Cloudy,42.9
